GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mrp,com.bushnell,DemandAnalysis,64,0,0,0,13,0,1,0,1,0
mrp,com.bushnell,HomeScreen.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
mrp,com.bushnell,HomeScreen.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
mrp,com.bushnell,StockReport,64,0,0,0,13,0,1,0,1,0
mrp,com.bushnell,HomeScreen.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
mrp,com.bushnell,HomeScreen,350,0,0,0,75,0,2,0,2,0
mrp,com.bushnell,HomeScreen.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
mrp,com.bushnell,App,26,0,0,0,8,0,1,0,1,0
mrp,com.bushnell,GUI,62,0,0,0,15,0,2,0,2,0
mrp,com.bushnell,Bundle,64,0,0,0,13,0,1,0,1,0
mrp,com.bushnell,UpdateStock,64,0,0,0,13,0,1,0,1,0
